date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:51	1156/1156	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2008:02:52%20GMT	https://phantomcodes.ga/robots.txt		(from )
13:32:52	8037/8037	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2008:02:52%20GMT	https://phantomcodes.ga/	D:/MinerKing's%20website/phantomcodes.ga/index.html	(from )
13:32:52	148485/148485	---MC-	200	added ('OK')	text/javascript	date:Thu,%2014%20Oct%202021%2008:02:53%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	D:/MinerKing's%20website/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://phantomcodes.ga/)
13:32:53	11587/11587	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Sep%202021%2007:55:48%20GMT	https://phantomcodes.ga/static/css/basic.css	D:/MinerKing's%20website/phantomcodes.ga/static/css/basic.css	(from https://phantomcodes.ga/)
13:32:54	15217/15217	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Sep%202021%2007:55:48%20GMT	https://phantomcodes.ga/static/css/layout.css	D:/MinerKing's%20website/phantomcodes.ga/static/css/layout.css	(from https://phantomcodes.ga/)
13:32:55	2980/2980	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Sep%202021%2007:55:48%20GMT	https://phantomcodes.ga/static/css/blogs.css	D:/MinerKing's%20website/phantomcodes.ga/static/css/blogs.css	(from https://phantomcodes.ga/)
13:32:55	301257/301257	---MCZ	200	added ('OK')	text/css	etag:W/%22ec4415d65c8d35167325934c8ebee9f5%22	https://kit-pro.fontawesome.com/releases/v5.12.1/css/pro.min.css	D:/MinerKing's%20website/kit-pro.fontawesome.com/releases/v5.12.1/css/pro.min.css	(from https://phantomcodes.ga/)
13:32:57	8302/8302	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Sep%202021%2007:55:48%20GMT	https://phantomcodes.ga/static/css/magnific-popup.css	D:/MinerKing's%20website/phantomcodes.ga/static/css/magnific-popup.css	(from https://phantomcodes.ga/)
13:32:58	78653/78653	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Sep%202021%2007:55:47%20GMT	https://phantomcodes.ga/static/css/animate.css	D:/MinerKing's%20website/phantomcodes.ga/static/css/animate.css	(from https://phantomcodes.ga/)
13:32:58	14175/14175	---M--	200	added ('OK')	image/jpeg	etag:%2233b859b992b7366ca436d7d36c02c7e4%22	https://i.imgur.com/YDT4557.jpg	D:/MinerKing's%20website/i.imgur.com/YDT4557.jpg	(from https://phantomcodes.ga/)
13:33:01	20869/20869	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Oct%202021%2008:03:01%20GMT	https://phantomcodes.ga/links	D:/MinerKing's%20website/phantomcodes.ga/links.html	(from https://phantomcodes.ga/)
13:33:01	689885/689885	---M--	200	added ('OK')	image/jpeg	date:Mon,%2027%20Sep%202021%2007:55:56%20GMT	https://phantomcodes.ga/static/images/bg-image.jpg	D:/MinerKing's%20website/phantomcodes.ga/static/images/bg-image.jpg	(from https://phantomcodes.ga/)
13:33:02	187010/187010	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Sep%202021%2007:55:57%20GMT	https://phantomcodes.ga/static/images/latest-projects/nitro-gen.png	D:/MinerKing's%20website/phantomcodes.ga/static/images/latest-projects/nitro-gen.png	(from https://phantomcodes.ga/)
13:33:03	23110/23110	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Sep%202021%2016:17:36%20GMT	https://phantomcodes.ga/static/images/latest-projects/cypher-selfbot.png	D:/MinerKing's%20website/phantomcodes.ga/static/images/latest-projects/cypher-selfbot.png	(from https://phantomcodes.ga/)
13:33:04	12598/12598	---M--	200	added ('OK')	image/png	date:Mon,%2027%20Sep%202021%2007:55:57%20GMT	https://phantomcodes.ga/static/images/latest-projects/nsfw.png	D:/MinerKing's%20website/phantomcodes.ga/static/images/latest-projects/nsfw.png	(from https://phantomcodes.ga/)
13:33:05	141264/141264	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:58%20GMT	https://phantomcodes.ga/static/js/jquery.min.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/jquery.min.js	(from https://phantomcodes.ga/)
13:33:06	63074/63074	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:59%20GMT	https://phantomcodes.ga/static/js/jquery.validate.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/jquery.validate.js	(from https://phantomcodes.ga/)
13:33:07	70473/70473	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:59%20GMT	https://phantomcodes.ga/static/js/masonry.pkgd.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/masonry.pkgd.js	(from https://phantomcodes.ga/)
13:33:08	15308/15308	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:57%20GMT	https://phantomcodes.ga/static/js/imagesloaded.pkgd.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/imagesloaded.pkgd.js	(from https://phantomcodes.ga/)
13:33:09	3554/3554	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:59%20GMT	https://phantomcodes.ga/static/js/masonry-filter.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/masonry-filter.js	(from https://phantomcodes.ga/)
13:33:10	60872/60872	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:59%20GMT	https://phantomcodes.ga/static/js/magnific-popup.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/magnific-popup.js	(from https://phantomcodes.ga/)
13:33:11	107029/107029	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:58%20GMT	https://phantomcodes.ga/static/js/jquery.mb.YTPlayer.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/jquery.mb.YTPlayer.js	(from https://phantomcodes.ga/)
13:33:12	51845/51845	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:56:00%20GMT	https://phantomcodes.ga/static/js/particles.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/particles.js	(from https://phantomcodes.ga/)
13:33:13	16588/16588	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:56:00%20GMT	https://phantomcodes.ga/static/js/typed.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/typed.js	(from https://phantomcodes.ga/)
13:33:14	6669/6669	---M--	200	added ('OK')	application/javascript	date:Mon,%2027%20Sep%202021%2007:55:59%20GMT	https://phantomcodes.ga/static/js/main.js	D:/MinerKing's%20website/phantomcodes.ga/static/js/main.js	(from https://phantomcodes.ga/)
